|#|Grammar|Meaning|
|1|aete|敢えて（あえて）|
|2|akumade mo|あくまでも|
|3|an no jou|案の定（あんのじょう）|
|4|arakajime|あらかじめ|
|5|atte no|あっての|
|6|ba koso|ばこそ|
|7|ba sore made da / tara sore made da|ばそれまでだ / たらそれまでだ|
|8|bekarazu / bekarazaru|べからず / べからざる|
|9|beku|べく|
|10|beku mo nai|べくもない|
|11|beku shite|べくして|
|12|biru / bite / bita|びる / びて / びた|
|13|buri / ppuri|ぶり / っぷり|
|14|buru / butte / butta|ぶる / ぶって / ぶった|
|15|dani / dani shinai|だに / だにしない|
|16|dano~dano|だの～だの|
|17|darou ni|だろうに|
|18|de are / de arou to|であれ / であろうと|
|19|de are~de are|であれ～であれ|
|20|demo ari~demo aru|でもあり～でもある|
|21|demo nan demo nai / kumo nan tomo nai|でも何でもない / くも何ともない（でもなんでもない / くもなんともない）|
|22|denakute nan darou|でなくてなんだろう|
|23|dewa arumai ka|ではあるまいか|
|24|dewa arumai shi|ではあるまいし|
|25|dewa sumanai|では済まない（ではすまない）|
|26|dou nimo~nai|どうにも～ない|
|27|ga hayai ka|が早いか（がはやいか）|
|28|ga/mo~nara, ~mo~da|が/も～なら、～も～だ|
|29|gamashii|がましい|
|30|gatera|がてら|
|31|gotoki / gotoku / gotoshi|ごとき / ごとく / ごとし|
|32|gurumi|ぐるみ|
|33|hame ni naru|羽目になる（はめになる）|
|34|hodo no koto dewa nai|ほどのことではない|
|35|hou ga mashi da|ほうがましだ|
|36|houdai|放題（ほうだい）|
|37|ikan da / ikan dewa / ikan ni yotte wa|いかんだ / いかんでは / いかんによっては|
|38|ikan ni kakawarazu / ikan ni yorazu / ikan o towazu|いかんにかかわらず / いかんによらず / いかんをとわず|
|39|ikanaru|いかなる|
|40|ikani|いかに|
|41|ikani mo|いかにも|
|42|izure ni shitemo / izure ni shiro / izure ni seyo|いずれにしても / いずれにしろ / いずれにせよ|
|43|jimita|じみた|
|44|ka ina ka|か否か（かいなか）|
|45|ka to omoikiya|かと思いきや（かとおもいきや）|
