|#|Grammar Lesson|文法レッスン|Grammar Meaning|
|---|---|---|---|
|1|ageku|あげく|to end up; in the end; finally; after all \~|
|2|aruiwa|あるいは|or; either; maybe; perhaps; possibly \~|
|3|bakari|ばかり|about, approximately \~|
|4|bakari da|ばかりだ|continue to (go in negative direction)|
|5|bakari ka|ばかりか|not only... but also; as well as \~|
|6|bakari ni|ばかりに|simply because; on account of\~ (negative result)|
|7|chinamini|ちなみに|by the way; in this connection; incidentally; (conjunction)|
|8|chitto mo\~nai|ちっとも～ない|(not) at all; (not) in the least \~|
|9|dake atte|だけあって|being the case; precisely because; as expected from \~|
|10|dake mashi da|だけましだ|it's better than; one should feel grateful for \~|
|11|dake ni|だけに|being the case; precisely because; as one would expect|
|12|dake no koto wa aru|だけのことはある|no wonder; as expected of; not ... for nothing; not ... with nothing to show for it|
|13|dake wa|だけは|to do all that one can|
|14|datte|だって|because; but; after all; even; too|
|15|de shika nai|でしかない|merely; nothing but; no more than; there is only \~|
|16|dokoro dewa nai|どころではない|not the time for; not the place for; far from; anything but \~|
|17|dokoro ka|どころか|far from; anything but; let alone; not to mention; much less \~|
|18|dou yara|どうやら|possibly; apparently; seems like; somehow; barely \~|
|19|douse|どうせ|anyhow; in any case; at any rate; after all; no matter what|
|20|enai|得ない（えない）|unable to; cannot; it is not possible to \~|
|21|eru / uru|得る（える / うる）|can; to be able to; is possible to \~|
|22|futatabi|再び（ふたたび）|again; once more|
|23|fuu ni|ふうに|this way; that way; in such a way; how|
|24|ga kikkake de / o kikkake ni|がきっかけで / をきっかけに|with… as a start; as a result of; taking advantage of \~|
|25|ge|げ|looks like; seems like; appears to \~|
|26|gyaku ni|逆に（ぎゃくに）|conversely; on the contrary \~|
|27|hanmen|反面（はんめん）|while, although; on the other hand\~|
|28|hatashite|果たして（はたして）|as was expected; sure enough; really; actually \~|
|29|ichiou|一応（いちおう）|more or less; pretty much; roughly; tentatively \~|
|30|igai|以外（いがい）|with the exception of; excepting \~|
|31|ijou ni|以上に（いじょうに）|more than; not less than; beyond \~|
|32|ijou wa|以上は（いじょうは）|because; since; seeing that \~|
|33|ikinari|いきなり|abruptly; suddenly; all of a sudden; without warning|
|34|ikki ni|一気に（いっきに）|in one go; without stopping; all at once; immediately; instantly; right away \~|
|35|ippou de|一方で（いっぽうで）|on one hand, on the other hand; although \~|
|36|iwayuru|いわゆる|what is called; as it is called; the so-called; so to speak​|
|37|iyoiyo|いよいよ|at last; finally; beyond doubt|
|38|jou|上（じょう）|for the sake of; from the standpoint of; as a matter of; in terms of \~|
|39|ka no you ni|かのように|as if; just like \~|
|40|ka to omottara|かと思ったら（かとおもったら）|just when; no sooner than \~|
|41|ka\~nai ka no uchi ni|か～ないかのうちに|just as; right after; as soon as \~|
|42|kaette|かえって|on the contrary; rather; all the more; surprisingly \~|
|43|kagiri|限り（かぎり）|as long as; while… is the case; as far as; while \~|
|44|kai ga aru|甲斐がある（かいがある）|it's worth one's efforts to do something|
|45|kanenai|かねない|(someone) might do something; something might happen|
|46|kaneru|かねる|unable to do something; can't do something|
|47|kara iu to|から言うと（からいうと）|in terms of; from the point of view of \~|
|48|kara koso|からこそ|precisely because \~|
|49|kara miru to|から見ると（からみると）|from the point of view of; by the look of; judging from \~|
|50|kara niwa|からには|now that; since; so long as; because \~|
|51|kara shite|からして|judging from; based on; since; from; even \~|
|52|kara suru to / kara sureba|からすると / からすれば|judging from; considering; by the look of \~|
|53|kara to itte|からと言って（からといって）|just because; even if; even though \~|
|54|kkonai|っこない|no chance of; …is definitely not possible|
|55|koto da|ことだ|should do\~ (used for suggestions or giving advice)|
|56|koto dakara|ことだから|because; since \~|
|57|koto ka|ことか|how…!; what…!|
|58|koto naku|ことなく|without doing something even once|
|59|koto ni|ことに|emphasize speaker's feelings; to my (surprise/etc)|
|60|koto niwa naranai|ことにはならない|just because… doesn't mean \~|
|61|kuse shite|くせして|although; despite the fact that; even though \~|
|62|madashimo|まだしも|rather; better​ \~|
|63|mai|まい|will not; will probably not; intend not to; must not \~|
|64|mama ni|ままに|as, to do as \~|
|65|mattaku\~nai|全く～ない（まったく～ない）|not at all \~|
|66|mo kamawazu|もかまわず|without caring; without worrying about \~|
|67|mo touzen da|も当然だ（もとうぜんだ）|it's only natural; no wonder; might as well \~|
|68|mono / mon|もの / もん|because; indicates reason/ excuse/ dissatisfaction|
|69|mono da|ものだ|describe feeling; express memories; state fact|
|70|mono dakara|ものだから|so; therefore; the reason for something|
|71|mono dewa nai|ものではない|shouldn't do something; it's impossible to \~|
|72|mono ga aru|ものがある|there is such a thing; to be the case that​; feels like \~|
|73|mono ka / mon ka|ものか / もんか|as if (something untrue were actually true); there's no way \~|
|74|mono nara|ものなら|if I/we could; if [A] is possible, then [B]; if one can do something, then \~|
|75|monono|ものの|but; although; even though \~|
|76|motto mo|もっとも|but then; although; though \~|
|77|mou sukoshi de|もう少しで（もうすこしで）|almost; nearly, close to \~|
|78|nai dewa irarenai|ないではいられない|can't help but feel; can't help but do \~|
|79|nai koto niwa\~nai|ないことには～ない|unless you \~|
|80|naka o / naka dewa|中を / 中では（なかを/ なかでは）|in; on; in the midst of; when; while \~|
|81|naku wa nai / naku mo nai|なくはない / なくもない|it's not that; I may (double negative)|
|82|nakute sumu|なくて済む（なくてすむ）|get by without doing \~|
|83|nani mo\~nai|何も～ない（なにも～ない）|nothing; (not) \~ at all; there's no need to \~|
|84|nao|なお|still; yet​; furthermore; in addition \~|
|85|neba naranai|ねばならない|have to do; must; should \~|
|86|ni atatte|にあたって|at the time; on the occasion of \~|
|87|ni hoka naranai|にほかならない|nothing but; none other than \~|
|88|ni kagirazu|に限らず（にかぎらず）|not just; not only... but also \~|
|89|ni kagiru|に限る（にかぎる）|is best; nothing is better than \~|
|90|ni kagitte|に限って（にかぎって）|only; in particular \~|
|91|ni kakawarazu|に関わらず（にかかわらず）|in spite of; regardless of \~|
|92|ni kakawaru|に関わる（にかかわる）|to relate to; to have to do with; relating to \~|
|93|ni kimatte iru|に決まっている（にきまっている）|certainly; I'm sure/certain that; it must be the case that \~|
|94|ni koshita koto wa nai|に越したことはない（にこしたことはない）|it's best that, there's nothing better than \~|
|95|ni kotaete|に応えて（にこたえて）|in response to \~|
|96|ni kuwaete|に加えて（にくわえて）|in addition \~|
|97|ni motozuite|に基づいて（にもとづいて）|based on; on the basis of \~|
|98|ni mukatte|に向かって（にむかって）|to face; to go towards; to head to \~|
|99|ni oujite|に応じて（におうじて）|depending on; in accordance with \~|
|100|ni saishite|に際して（にさいして）|on the occasion of; at the time of \~|
|101|ni sakidachi|に先立ち（にさきだち）|before; prior to \~|
|102|ni seyo/ ni shiro|にせよ/ にしろ|even if; regardless; whether... or \~|
|103|ni shiro\~ni shiro|にしろ～にしろ|whether… or \~|
|104|ni shitara / ni sureba|にしたら / にすれば|from one's perspective; from the point of view of \~|
|105|ni shitemo\~ni shitemo|にしても～にしても|regardless of whether \~|
|106|ni sotte|に沿って（にそって）|along with; in accordance with \~|
|107|ni soui nai|に相違ない（にそういない）|without a doubt; certain; sure|
|108|ni suginai|に過ぎない（にすぎない）|no more than; just; merely; only \~|
|109|ni tomonatte|に伴って（にともなって）|as; due to; with; along with; following; accordingly \~|
|110|ni tsuke|につけ|every time; whenever; as; whether; in (either case)​|
|111|ni tsuki|につき|due to; because of; per; each|
|112|ni watatte|にわたって|throughout; over a period of \~|
|113|nimo kakawarazu|にも関わらず（にもかかわらず）|despite; in spite of; nevertheless; although \~|
|114|nite|にて|in, at, with, by (formal particle)|
|115|no mo motto mo da|のももっともだ|no wonder; …is only natural|
|116|no moto de|の下で（のもとで）|under; with \~|
|117|no ue de wa|の上では（のうえでは）|according to; from the viewpoint of \~|
|118|nomi|のみ|only; nothing but​|
|119|nominarazu|のみならず|not only; besides; as well as \~|
|120|nu|ぬ|negative verb conjugation; traditional version of ない|
|121|nuki ni shite / nuki de|抜きにして / 抜きで（ぬきにして/ ぬきで）|without; leaving out; cutting out \~|
|122|nuku|抜く（ぬく）|to do something from beginning to end; completely, extremely \~|
|123|o keiki ni|を契機に（をけいきに）|as a good opportunity/chance to; as a result of; make the best of \~|
|124|o megutte|をめぐって|concerning; in regard to \~|
|125|o moto ni|をもとに|based on; derived from; building on; beginning with \~|
|126|o nozoite|を除いて（をのぞいて）|except; with the exception of; excluding \~|
