|#|語彙|Vocabulary|Type|Meaning|
|1|明かり|akariあかり|Noun|light; illumination; glow; gleam|
|2|明ける|akeruあける|Verb, Ichidan verb, Transitive verb|to dawn,to become daylight|
|3|明らか|akirakaあきらか|Adjective, な-adjective|clear; obvious|
|4|悪魔|akumaあくま|Noun|devil; demon; fiend; Satan|
|5|暗記|ankiあんき|Noun, Verb, Suru verb|memorization; learning by heart|
|6|新た|arataあらた|Noun, Adjective, な-adjective|new; fresh; novel|
|7|有らゆる|arayuruあらゆる|Pre-noun adjectival|all; every​|
|8|集まり|atsumariあつまり|Noun|gathering; meeting; assembly; collection; attendance|
|9|部分|bubunぶぶん|Noun|portion; section; part|
|10|分|bunぶん|Noun, Suffixpart|;segment; share; ration|
|11|文明|bunmeiぶんめい|Noun|civilization; culture|
|12|分析|bunsekiぶんせき|Noun, Verb, Suru verb|analysis|
|13|分野|bunyaぶんや|Noun|field; sphere; realm; division; branch|
|14|父親|chichioyaちちおや|Noun|father|
|15|地平線|chiheisenちへいせん|Noun|horizon (related to land)​|
|16|地位|chiiちい|Noun(social) position|;status|
|17|長期|choukiちょうき|Noun|long-term|
|18|中|chuuちゅう|Noun, Prefix, Suffixduring|;while; medium; middle|
|19|中学|chuugakuちゅうがく|Noun|junior high school; middle school|
|20|昼食|chuushokuちゅうしょく|Noun|lunch; midday meal|
|21|大部分|daibubunだいぶぶん|Noun|most part; greater part; majority|
|22|駄目|dameだめ|Noun, Adjective, な-adjective|no good; cannot|
|23|男子|danshiだんし|Noun|youth; young man|
|24|出会い|deaiであい|Noun|meeting; rendezvous; encounter|
|25|出会う|deauであう|Verb|to meet (by chance); to come across; to run across; to encounter|
|26|読書|dokushoどくしょ|Noun, Verb, Suru verb|reading|
|27|努力|doryokuどりょく|Noun, Verb, Suru verb|effort; exertion; endeavor; hard work; striving|
|28|同一|douitsuどういつ|Adjective, な-adjective|identical; same; one and the same; equal|
|29|円|enえん|Noun|yen; Japanese monetary unit; circle|
|30|不利|furiふり|Noun, Adjective, な-adjective|disadvantage; handicap; unfavorable position|
|31|不足|fusokuふそく|Noun, Adjective, な-adjective, Verb, Suru verb|insufficiency; shortage; deficiency; lack; dearth|
|32|再び|futatabiふたたび|Adverb|again; once more; a second time|
|33|外交|gaikouがいこう|Noun|diplomacy|
|34|外出|gaishutsuがいしゅつ|Noun, Verb, Suru verb|going out; outing; leaving (one's home, office, etc.)|
|35|学期|gakkiがっき|Noun|school term; semester|
|36|学|gakuがく|Noun, Suffixlearning|;education; study of|
|37|学問|gakumonがくもん|Noun, Verb, Suru verb|scholarship; study; learning|
|38|学者|gakushaがくしゃ|Noun|scholar|
|39|学習|gakushuuがくしゅう|Noun, Verb, Suru verb|study; learning; tutorial|
|40|議長|gichouぎちょう|Noun|chairman; president; moderator|
|41|議会|gikaiぎかい|Noun|congress; parliament; diet; legislative assembly|
|42|語学|gogakuごがく|Noun|study of foreign languages; linguistics|
|43|激しい|hageshiiはげしい|Adjective, い-adjectiveviolent|;extreme; intense|
|44|母親|hahaoyaははおや|Noun|mother|
|45|博物館|hakubutsukanはくぶつかん|Noun|museum|
|46|販売|hanbaiはんばい|Noun, Verb, Suru verb|sales; selling; marketing|
|47|発明|hatsumeiはつめい|Noun, Adjective, な-adjective, Verb, Suru verb|invention|
|48|外す|hazusuはずす|Verb, Godan verb, Transitive verb|to remove; to undo; to drop; to miss|
|49|品|hinひん|Noun|elegance, article|
|50|一言|hitokotoひとこと|Noun, Verb, Suru verb|single word; a few words; brief comment|
