# Vocabulary List
|#|ごい|Vocabulary|Type|Meaning|
|---|---|---|---|---|
|1|あ|a|Expression|Ah; oh|
|2|ああ|aa|Adverb|ah; yes|
|3|アフリカ|afurika|Noun, Katakana|Africa|
|4|上がる|agaru あがる|Verb, Godan verb, Intransitive verb|to rise|
|5|挨拶|aisatsu あいさつ|Noun, Suru verb|to greet|
|6|味|aji あじ|Noun|flavor; taste​; uniqueness; attractiveness; experience|
|7|アジア|ajia|Noun, Katakana|Asia|
|8|赤ちゃん|akachan あかちゃん|Noun|baby; infant|
|9|赤ん坊|akanbou あかんぼう|Noun|baby; infant|
|10|アクセサリー|akusesarii|Noun, Katakana|accessory|
|11|アメリカ|amerika|Noun, Katakana|America|
|12|アナウンサー|anaunsaa|Noun, Katakana|announcer|
|13|あんな|anna|Pre-noun adjectival|such|
|14|案内|annai あんない|Noun, Suru verb|to guide|
|15|安心|anshin あんしん|Noun|, Adjective, な-adjective, Suru verbpeace of mind|
|16|安全|anzen あんぜん|Noun|, Adjective, な-adjectivesafety; security​|
|17|アルバイト|arubaito|Noun, Suru verb|, Katakanapart-time job|
|18|アルコール|arukooru|Noun, Katakana|alcohol|
|19|浅い|asai あさい|Adjective, い-adjective|shallow|
|20|遊び|asobi あそび|Noun|playing|
|21|集まる|atsumaru あつまる|Verb, Godan verb, Intransitive verb|to gather; to collect; to assemble|
|22|集める|atsumeru あつめる|Verb, Ichidan verb, Transitive verb|to collect; to assemble; to gather|
|23|謝る|ayamaru あやまる|Verb, Godan verb|to apologize|
|24|倍|bai ばい|Noun|double|
|25|番組|bangumi ばんぐみ|Noun|program (e.g. TV)|
|26|場所|basho ばしょ|Noun|place|
|27|ベル|beru|Noun, Katakana|bell|
|28|美術館|bijutsukan びじゅつかん|Noun|art gallery; art museum|
|29|びっくり|bikkuri|Adverb|, Suru verbto be surprised|
|30|ビル|biru|Noun, Katakana|building|
|31|僕|boku ぼく|Pronoun|I (used by males)|
|32|貿易|boueki ぼうえき|Noun, Suru verb|trade|
|33|部長|buchou ぶちょう|Noun|manager; head (chief, director) of a section or department|
|34|ぶどう|budou|Noun|grapes|
|35|文学|bungaku ぶんがく|Noun|literature|
